Type,Version,Name,Description,Endpoint,SiteID,ResourceID,Kit.Name,Kit.Version,Kit.Class,Kit.SupportLevel,Kit.SupportGoal,Timestamp
"globus-mds4","4.0.7","globus-mds-info","WebServices MDS4","https://grid-abe.ncsa.teragrid.org:8446/wsrf/services/DefaultIndexService","ncsa.teragrid.org","abe.ncsa.teragrid.org","core.teragrid.org","4.2.0","ctss","production","production","2009-07-23T05:06:02Z"
"gridftp","4.0.8","gridftp-default-server","GridFTP","gsiftp://gridftp-abe.ncsa.teragrid.org:2811/","ncsa.teragrid.org","abe.ncsa.teragrid.org","data-movement.teragrid.org","4.1.2","ctss","production","production","2009-07-23T05:06:02Z"
"gridftp","4.0.8","gridftp-nonstriped-server","GridFTP","gsiftp://gridftp-abe.ncsa.teragrid.org:2812/","ncsa.teragrid.org","abe.ncsa.teragrid.org","data-movement.teragrid.org","4.1.2","ctss","production","production","2009-07-23T05:06:02Z"
"gridftp","4.0.8","gridftp-striped-server","GridFTP","gsiftp://gridftp-abe.ncsa.teragrid.org:2811/","ncsa.teragrid.org","abe.ncsa.teragrid.org","data-movement.teragrid.org","4.1.2","ctss","production","production","2009-07-23T05:06:02Z"
"gsi-openssh","4.5","gsi-openssh","GSI OpenSSH","login-abe.ncsa.teragrid.org:22","ncsa.teragrid.org","abe.ncsa.teragrid.org","data-movement.teragrid.org","4.1.2","ctss","production","production","2009-07-23T05:06:02Z"
"ws-rft","4.0.7","rft","WebServices Reliable File Transfer","https://grid-abe.ncsa.teragrid.org:8443/wsrf/services/ReliableFileTransferService","ncsa.teragrid.org","abe.ncsa.teragrid.org","data-movement.teragrid.org","4.1.2","ctss","production","production","2009-07-23T05:06:02Z"
"gsi-openssh","4.5","gsi-openssh","GSI OpenSSH","login-abe.ncsa.teragrid.org:22","ncsa.teragrid.org","abe.ncsa.teragrid.org","login.teragrid.org","4.0.0","ctss","production","production","2009-07-23T05:06:02Z"
"condor-g","6.7.18","condor-g","Condor-G","embedded_in_software","ncsa.teragrid.org","abe.ncsa.teragrid.org","workflow.teragrid.org","4.0.0","ctss","production","production","2009-07-23T05:06:02Z"
"globus-mds4","4.0.7","globus-mds-secure","WebServices MDS4","https://grid-abe.ncsa.teragrid.org:8443/wsrf/services/SecureIndexService","ncsa.teragrid.org","abe.ncsa.teragrid.org","remote-compute.teragrid.org","4.0.2","ctss","production","production","2009-07-23T05:06:02Z"
"globus-mds4","4.0.7","globus-mds","WebServices MDS4","https://grid-abe.ncsa.teragrid.org:8443/wsrf/services/DefaultIndexService","ncsa.teragrid.org","abe.ncsa.teragrid.org","remote-compute.teragrid.org","4.0.2","ctss","production","production","2009-07-23T05:06:02Z"
