2009-07-31 01:07:21,968 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.apache.cxf.bus.spring.BusApplicationContext - Refreshing org.apache.cxf.bus.spring.BusApplicationContext@183d260: display name [org.apache.cxf.bus.spring.BusApplicationContext@183d260]; startup date [Fri Jul 31 01:07:21 EDT 2009]; root of context hierarchy
2009-07-31 01:07:22,986 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder': replacing [Root bean: class [org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder]; scope=singleton; abstract=false; lazyInit=false; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]] with [Root bean: class [org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder]; scope=singleton; abstract=false; lazyInit=false; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]]
2009-07-31 01:07:22,987 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder': replacing [Root bean: class [org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder]; scope=singleton; abstract=false; lazyInit=false; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]] with [Root bean: class [org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder]; scope=singleton; abstract=false; lazyInit=false; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]]
2009-07-31 01:07:22,988 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'org.apache.cxf.transport.http.ClientOnlyHTTPTransportFactory': replacing [Root bean: class [org.apache.cxf.transport.http.ClientOnlyHTTPTransportFactory]; scope=singleton; abstract=false; lazyInit=true; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]] with [Root bean: class [org.apache.cxf.transport.http.ClientOnlyHTTPTransportFactory]; scope=singleton; abstract=false; lazyInit=true; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]]
2009-07-31 01:07:23,008 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.apache.cxf.bus.spring.BusApplicationContext - Bean factory for application context [org.apache.cxf.bus.spring.BusApplicationContext@183d260]: org.springframework.beans.factory.support.DefaultListableBeanFactory@1042c25
2009-07-31 01:07:23,298 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.apache.cxf.bus.spring.BusApplicationContext - Bean 'org.apache.cxf.bus.spring.Jsr250BeanPostProcessor' is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2009-07-31 01:07:23,303 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.apache.cxf.bus.spring.BusApplicationContext - Bean 'org.apache.cxf.bus.spring.BusExtensionPostProcessor' is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2009-07-31 01:07:23,332 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1042c25: defining beans [cxf,org.apache.cxf.bus.spring.Jsr250BeanPostProcessor,org.apache.cxf.bus.spring.BusExtensionPostProcessor,org.apache.cxf.resource.ResourceManager,org.apache.cxf.configuration.Configurer,org.apache.cxf.binding.BindingFactoryManager,org.apache.cxf.transport.DestinationFactoryManager,org.apache.cxf.transport.ConduitInitiatorManager,org.apache.cxf.wsdl.WSDLManager,org.apache.cxf.phase.PhaseManager,org.apache.cxf.workqueue.WorkQueueManager,org.apache.cxf.buslifecycle.BusLifeCycleManager,org.apache.cxf.endpoint.ServerRegistry,org.apache.cxf.endpoint.ServerLifeCycleManager,org.apache.cxf.endpoint.ClientLifeCycleManager,org.apache.cxf.transports.http.QueryHandlerRegistry,org.apache.cxf.endpoint.EndpointResolverRegistry,org.apache.cxf.headers.HeaderManager,org.apache.cxf.catalog.OASISCatalogManager,org.apache.cxf.endpoint.ServiceContractResolverRegistry,org.apache.cxf.binding.soap.SoapBindingFactory,org.apache.cxf.binding.soap.SoapTransportFactory,org.apache.cxf.binding.soap.customEditorConfigurer,org.apache.cxf.jaxws.context.WebServiceContextResourceResolver,org.apache.cxf.jaxws.context.WebServiceContextImpl,org.apache.cxf.binding.xml.XMLBindingFactory,org.apache.cxf.ws.addressing.policy.AddressingAssertionBuilder,org.apache.cxf.ws.addressing.policy.AddressingPolicyInterceptorProvider,org.apache.cxf.ws.addressing.policy.UsingAddressingAssertionBuilder,org.apache.cxf.transport.local.LocalTransportFactory,org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder,org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder,org.apache.cxf.transport.http.ClientOnlyHTTPTransportFactory,org.apache.cxf.transport.http_jetty.JettyHTTPTransportFactory,org.apache.cxf.transport.jms.JMSTransportFactory,org.apache.cxf.management.jmx.InstrumentationManagerImpl]; root of factory hierarchy
2009-07-31 01:56:00,710 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.apache.cxf.bus.spring.BusApplicationContext - Refreshing org.apache.cxf.bus.spring.BusApplicationContext@183d260: display name [org.apache.cxf.bus.spring.BusApplicationContext@183d260]; startup date [Fri Jul 31 01:56:00 EDT 2009]; root of context hierarchy
2009-07-31 01:56:01,677 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder': replacing [Root bean: class [org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder]; scope=singleton; abstract=false; lazyInit=false; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]] with [Root bean: class [org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder]; scope=singleton; abstract=false; lazyInit=false; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]]
2009-07-31 01:56:01,678 [org.cyberaide.ws.mediator.CogMediator.main()] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder': replacing [Root bean: class [org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder]; scope=singleton; abstract=false; lazyInit=false; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]] with [Root bean: class [org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder]; scope=singleton; abstract=false; lazyInit=false; autowireCandidate=true; autowireMode=0; dependencyCheck=0; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/home/fugang/.m2/repository/org/apache/cxf/cxf-rt-transports-http/2.1/cxf-rt-transports-http-2.1.jar!/META-INF/cxf/cxf-extension-http.fixml]]
